display_num,pulse_num,time,ipi_num,ipi_time_s,ipd_distance_mm,vert_dist_mm,relative_brightness,source
1,1,5.93333333,0,,,,,GAG
1,2,6.13333333,1,2.33333333,,,,GAG
1,3,6.76666667,2,1.13333333,,,,GAG
1,4,6,3,1.13333333,,,,GAG
1,5,5.16666667,4,1.3,,,,GAG
1,6,4.26666667,5,1.36666667,,,,GAG
1,7,3.4,6,1.1,,,,GAG
1,8,3.53333333,7,1.33333333,,,,GAG
2,1,6.73333333,0,,,,,GAG
2,2,5.86666667,1,1.73333333,,,,GAG
2,3,5.36666667,2,0.83333333,,,,GAG
2,4,5.3,3,1,,,,GAG
2,5,3.53333333,4,0.93333333,,,,GAG
2,6,2.56666667,5,1.7,,,,GAG
3,1,6.26666667,0,,,,,GAG
3,2,5.76666667,1,1.8,,,,GAG
3,3,5.03333333,2,1.33333333,,,,GAG
3,4,3.9,3,1,,,,GAG
3,5,3.33333333,4,1.36666667,,,,GAG
3,6,1.23333333,5,1.4,,,,GAG
3,7,2,6,1.33333333,,,,GAG
3,8,1.16666667,7,1.63333333,,,,GAG
4,1,3.9,0,,,,,GAG
4,2,3.63333333,1,1.96666667,,,,GAG
4,3,1.6,2,1,,,,GAG
4,4,1.33333333,3,1.36666667,,,,GAG
5,1,4.8,0,,,,,GAG
5,2,4.26666667,1,1.5,,,,GAG
5,3,4.06666667,2,1.13333333,,,,GAG
5,4,3.93333333,3,1.13333333,,,,GAG
5,5,3.03333333,4,0.83333333,,,,GAG
5,6,2.56666667,5,1.3,,,,GAG
6,1,5.16666667,0,,,,,GAG
6,2,2.56666667,1,1.06666667,,,,GAG
6,3,2.66666667,2,1,,,,GAG
6,4,1.56666667,3,1.26666667,,,,GAG
6,5,1.66666667,4,1.03333333,,,,GAG
7,1,4.7,0,,,,,GAG
7,2,2.7,1,1.06666667,,,,GAG
7,3,2.3,2,0.96666667,,,,GAG
7,4,2.33333333,3,0.76666667,,,,GAG
8,1,8.66666667,0,,,,,GAG
8,2,4,1,1.8,,,,GAG
8,3,3.33333333,2,1.5,,,,GAG
8,4,1.86666667,3,1.33333333,,,,GAG
9,1,,,,0,0,,WP
9,2,,,,58.12754997,58.12754997,,WP
9,3,,,,50.94897546,109.0765254,,WP
9,4,,,,39.45826783,148.5347933,,WP
10,1,,,,0,0,,WP
10,2,,,,92.47556975,92.47556975,,WP
10,3,,,,85.6290237,178.1045935,,WP
11,1,,,,0,0,,WP
11,2,,,,51.83349882,51.83349882,,WP
11,3,,,,53.00449132,104.8379901,,WP
11,4,,,,46.09772229,150.9357124,,WP
12,1,,,,0,0,,WP
12,2,,,,51.10949618,51.10949618,,WP
12,3,,,,101.867913,152.9774092,,WP
13,1,,,,,,1,THO
13,2,,,,,,0.9793948,THO
13,3,,,,,,0.5689864,THO
14,1,,,,,,1,THO
14,2,,,,,,0.62338469,THO
14,3,,,,,,0.5390637,THO
14,4,,,,,,0.48362434,THO
14,5,,,,,,0.32501691,THO
14,6,,,,,,0.01454134,THO
15,1,,,,,,1,THO
15,2,,,,,,0.4384343,THO